assigned_by	bioentity	bioentity_label	reference	qualifier	annotation_class	annotation_class_label	evidence_type	evidence_with	bioentity_isoform	panther_family	date	annotation_extension_class	taxon
TAIR	AGI_LocusCode:AT5G66190	FNR1	PMID:17335513|TAIR:Publication:501721162		GO:0045156	electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity	IDA		TAIR:locus:2156917		20070619		NCBITaxon:3702
TAIR	AGI_LocusCode:AT3G01440	PnsL3	PMID:20430763|TAIR:Publication:501738043		GO:0045156	electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity	IMP		TAIR:locus:2096707		20100802		NCBITaxon:3702
TAIR	AGI_LocusCode:AT2G01918	PQL3	PMID:20430763|TAIR:Publication:501738043		GO:0045156	electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity	IMP		TAIR:locus:1009023157		20100802		NCBITaxon:3702
TAIR	AGI_LocusCode:AT1G14150	PnsL2	PMID:20430763|TAIR:Publication:501738043		GO:0045156	electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity	IMP		TAIR:locus:2035775		20100802		NCBITaxon:3702
TAIR	AGI_LocusCode:AT5G66190	FNR1	PMID:17335513|TAIR:Publication:501721162		GO:0045157	electron transporter, transferring electrons within the noncyclic electron transport pathway of photosynthesis activity	IDA		TAIR:locus:2156917		20070619		NCBITaxon:3702
TAIR	AGI_LocusCode:ATCG00270	PSBD	TAIR:Publication:501682433		GO:0045157	electron transporter, transferring electrons within the noncyclic electron transport pathway of photosynthesis activity	TAS		TAIR:locus:504954651		20031117		NCBITaxon:3702
TAIR	AGI_LocusCode:ATCG00540	PETA	TAIR:Publication:501682433		GO:0045158	electron transporter, transferring electrons within cytochrome b6/f complex of photosystem II activity	TAS		TAIR:locus:504954677		20040719		NCBITaxon:3702
TAIR	AGI_LocusCode:ATCG00730	PETD	TAIR:Publication:501682433		GO:0045158	electron transporter, transferring electrons within cytochrome b6/f complex of photosystem II activity	TAS		TAIR:locus:504954696		20230919		NCBITaxon:3702
TAIR	AGI_LocusCode:ATCG00720	PETB	TAIR:Publication:501682433		GO:0045158	electron transporter, transferring electrons within cytochrome b6/f complex of photosystem II activity	TAS		TAIR:locus:504954695		20230919		NCBITaxon:3702
UniProt	UniProtKB:P31480	petB	PMID:12837550		GO:0045158	electron transporter, transferring electrons within cytochrome b6/f complex of photosystem II activity	NAS				20031120		NCBITaxon:3039
CACAO	AGI_LocusCode:AT1G20340	DRT112	PMID:12773541|TAIR:Publication:501707069		GO:0046028	electron transporter, transferring electrons from cytochrome b6/f complex of photosystem II activity	IGI	UniProtKB:P11490	TAIR:locus:2012928		20160611		NCBITaxon:3702
TAIR	AGI_LocusCode:AT4G03280	PETC	PMID:12040099|TAIR:Publication:501682068		GO:0046028	electron transporter, transferring electrons from cytochrome b6/f complex of photosystem II activity	TAS		TAIR:locus:2005534		20040210		NCBITaxon:3702
