assigned_by	bioentity	bioentity_label	reference	qualifier	annotation_class	annotation_class_label	evidence_type	evidence_with	bioentity_isoform	panther_family	date	annotation_extension_class	taxon
SynGO	MGI:MGI:96623	Itpr1	PMID:11117745		GO:0098695	inositol 1,4,5-trisphosphate receptor activity involved in regulation of postsynaptic cytosolic calcium levels	IDA			PANTHER:PTHR13715	20220928	GO:0098685	NCBITaxon:10090
SynGO	MGI:MGI:96623	Itpr1	PMID:11117745		GO:0098695	inositol 1,4,5-trisphosphate receptor activity involved in regulation of postsynaptic cytosolic calcium levels	EXP			PANTHER:PTHR13715	20220928	GO:0098685	NCBITaxon:10090
SynGO	MGI:MGI:96623	Itpr1	PMID:11117745		GO:0098695	inositol 1,4,5-trisphosphate receptor activity involved in regulation of postsynaptic cytosolic calcium levels	IMP			PANTHER:PTHR13715	20220928	GO:0098685	NCBITaxon:10090
SynGO	MGI:MGI:1351338	Grm1	PMID:11487615		GO:0098872	G protein-coupled neurotransmitter receptor activity involved in regulation of postsynaptic cytosolic calcium ion concentration	IDA			PANTHER:PTHR24060	20220928	GO:0098685	NCBITaxon:10090
SynGO	MGI:MGI:1351338	Grm1	PMID:11487615		GO:0098872	G protein-coupled neurotransmitter receptor activity involved in regulation of postsynaptic cytosolic calcium ion concentration	EXP			PANTHER:PTHR24060	20220928	GO:0098978|UBERON:0002421	NCBITaxon:10090
SynGO	MGI:MGI:1351338	Grm1	PMID:11487615		GO:0098872	G protein-coupled neurotransmitter receptor activity involved in regulation of postsynaptic cytosolic calcium ion concentration	EXP			PANTHER:PTHR24060	20220928	GO:0098685	NCBITaxon:10090
SynGO	MGI:MGI:1351338	Grm1	PMID:11487615		GO:0098872	G protein-coupled neurotransmitter receptor activity involved in regulation of postsynaptic cytosolic calcium ion concentration	IDA			PANTHER:PTHR24060	20220928	GO:0098978|UBERON:0002421	NCBITaxon:10090
SynGO	RGD:61862	Gria2	PMID:10704491|RGD:155230691		GO:0099507	ligand-gated monoatomic ion channel activity involved in regulation of presynaptic membrane potential	IDA			PANTHER:PTHR18966	20220928		NCBITaxon:10116
SynGO	RGD:61862	Gria2	PMID:10704491|RGD:155230691		GO:0099507	ligand-gated monoatomic ion channel activity involved in regulation of presynaptic membrane potential	IMP			PANTHER:PTHR18966	20220928		NCBITaxon:10116
SynGO	RGD:620715	Kcnma1	PMID:11739569|RGD:1581587		GO:0099507	ligand-gated monoatomic ion channel activity involved in regulation of presynaptic membrane potential	EXP			PANTHER:PTHR10027	20220928	GO:0098978|UBERON:0002421	NCBITaxon:10116
SynGO	RGD:620715	Kcnma1	PMID:11739569|RGD:1581587		GO:0099507	ligand-gated monoatomic ion channel activity involved in regulation of presynaptic membrane potential	IDA			PANTHER:PTHR10027	20220928	GO:0098978|UBERON:0002421	NCBITaxon:10116
SynGO	UniProtKB:P42263	GRIA3	PMID:12670305		GO:0099507	ligand-gated monoatomic ion channel activity involved in regulation of presynaptic membrane potential	IDA			PANTHER:PTHR18966	20220928		NCBITaxon:9606
SynGO	UniProtKB:P42263	GRIA3	PMID:12670305		GO:0099507	ligand-gated monoatomic ion channel activity involved in regulation of presynaptic membrane potential	IMP			PANTHER:PTHR18966	20220928		NCBITaxon:9606
SynGO	UniProtKB:P48058	GRIA4	PMID:12670305		GO:0099507	ligand-gated monoatomic ion channel activity involved in regulation of presynaptic membrane potential	IDA			PANTHER:PTHR18966	20220928		NCBITaxon:9606
SynGO	UniProtKB:P48058	GRIA4	PMID:12670305		GO:0099507	ligand-gated monoatomic ion channel activity involved in regulation of presynaptic membrane potential	IMP			PANTHER:PTHR18966	20220928		NCBITaxon:9606
SynGO	RGD:2732	Grik1	PMID:1373382|RGD:155230697		GO:0099507	ligand-gated monoatomic ion channel activity involved in regulation of presynaptic membrane potential	IDA			PANTHER:PTHR18966	20220928		NCBITaxon:10116
SynGO	RGD:2732	Grik1	PMID:1373382|RGD:155230697		GO:0099507	ligand-gated monoatomic ion channel activity involved in regulation of presynaptic membrane potential	IMP			PANTHER:PTHR18966	20220928		NCBITaxon:10116
