assigned_by	bioentity	bioentity_label	reference	qualifier	annotation_class	annotation_class_label	evidence_type	evidence_with	bioentity_isoform	panther_family	date	annotation_extension_class	taxon
UniProt	UniProtKB:Q9NUQ7	UFSP2	PMID:36543799		GO:0071567	deUFMylase activity	IDA		UniProtKB:Q9NUQ7	PANTHER:PTHR48153	20240320	GO:1903051|UniProtKB:P00387|GO:0004128	NCBITaxon:9606
UniProt	UniProtKB:O94874	UFL1	PMID:36543799		GO:0061666	UFM1 ligase activity	IDA		UniProtKB:O94874	PANTHER:PTHR31057	20240320	UniProtKB:P00387|GO:0140501|GO:1903052	NCBITaxon:9606
UniProt	UniProtKB:O94874	UFL1	PMID:36543799		GO:0061666	UFM1 ligase activity	IDA		UniProtKB:O94874	PANTHER:PTHR31057	20240320	GO:0071569|GO:0140501|GO:1903052|GO:0005789|UniProtKB:P00387	NCBITaxon:9606
UniProt	UniProtKB:O94874	UFL1	PMID:36543799		GO:0071569	protein ufmylation	IDA		UniProtKB:O94874	PANTHER:PTHR31057	20240320	GO:0140501|GO:1903052	NCBITaxon:9606
UniProt	UniProtKB:O94874	UFL1	PMID:36543799		GO:0140501	positive regulation of reticulophagy	IDA		UniProtKB:O94874	PANTHER:PTHR31057	20240320	GO:1903052	NCBITaxon:9606
UniProt	UniProtKB:Q96JB5	CDK5RAP3	PMID:36543799		GO:1990756	ubiquitin-like ligase-substrate adaptor activity	IDA		UniProtKB:Q96JB5	PANTHER:PTHR14894	20240322	UniProtKB:P00387|GO:0140501|GO:1903052	NCBITaxon:9606
UniProt	UniProtKB:Q96HY6	DDRGK1	PMID:36543799		GO:0141185	UFM1-modified protein reader activity	IDA		UniProtKB:Q96HY6	PANTHER:PTHR48176	20240320	GO:0140501|GO:1903052|GO:0005789|UniProtKB:P00387|GO:0004128	NCBITaxon:9606
UniProt	UniProtKB:Q96HY6	DDRGK1	PMID:36543799		GO:0141185	UFM1-modified protein reader activity	IDA		UniProtKB:Q96HY6	PANTHER:PTHR48176	20240326	UniProtKB:P00387|GO:0140501|GO:1903052	NCBITaxon:9606
UniProt	UniProtKB:Q96HY6	DDRGK1	PMID:36543799		GO:0140501	positive regulation of reticulophagy	IDA		UniProtKB:Q96HY6	PANTHER:PTHR48176	20240320	GO:1903052	NCBITaxon:9606
UniProt	UniProtKB:Q96HY6	DDRGK1	PMID:36543799		GO:1903052	positive regulation of proteolysis involved in protein catabolic process	IDA		UniProtKB:Q96HY6	PANTHER:PTHR48176	20240320	GO:1903052	NCBITaxon:9606
