assigned_by	bioentity	bioentity_label	reference	qualifier	annotation_class	annotation_class_label	evidence_type	evidence_with	bioentity_isoform	panther_family	date	annotation_extension_class	taxon
MGI	MGI:MGI:96623	Itpr1	PMID:10570150		GO:0005220	inositol 1,4,5-trisphosphate-gated calcium channel activity	IGI	MGI:MGI:88031		PANTHER:PTHR13715	20220830	GO:0007207|GO:0032024|GO:0099105|GO:1990806|GO:0005783|GO:0005829	NCBITaxon:10090
MGI	MGI:MGI:107476	Stim1	PMID:18452988		GO:0005246	calcium channel regulator activity	IDA			PANTHER:PTHR15136	20220830	GO:0007207|GO:0032024|GO:0099105|GO:1990806|GO:0005886	NCBITaxon:10090
MGI	MGI:MGI:107476	Stim1	PMID:18452988		GO:0099103	channel activator activity	IDA			PANTHER:PTHR15136	20220830	GO:0007207|GO:0032024|GO:0099105|GO:1990806|GO:0005886	NCBITaxon:10090
MGI	MGI:MGI:107476	Stim1	PMID:18452988		GO:0099107	ion channel regulator activity involved in G protein-coupled receptor signaling pathway	IDA			PANTHER:PTHR15136	20220830	GO:0007207|GO:0032024|GO:0099105|GO:1990806|GO:0005886	NCBITaxon:10090
MGI	MGI:MGI:88398	Chrm3	PMID:20440069		GO:0016907	G protein-coupled acetylcholine receptor activity	IDA			PANTHER:PTHR24247	20220826	GO:0007207|GO:0032024|GO:0099105|GO:1990806|CL:0000169|GO:0005886|GO:0003925|GO:0030234	NCBITaxon:10090
MGI	MGI:MGI:2684079	Ffar1	PMID:31664108		GO:0004930	G protein-coupled receptor activity	IDA			PANTHER:PTHR45822	20220825	GO:0007200|GO:0032024|GO:0099105|GO:1990806	NCBITaxon:10090
MGI	MGI:MGI:1925542	Orai1	PMID:31664108		GO:0015279	store-operated calcium channel activity	IMP			PANTHER:PTHR31501	20220825	GO:0007200|GO:0032024|GO:0099105|GO:1990806	NCBITaxon:10090
MGI	MGI:MGI:107476	Stim1	PMID:31664108		GO:0099107	ion channel regulator activity involved in G protein-coupled receptor signaling pathway	IMP	MGI:MGI:5008476		PANTHER:PTHR15136	20220825	GO:0007200|GO:0032024|GO:0099105|GO:1990806	NCBITaxon:10090
MGI	MGI:MGI:107476	Stim1	PMID:31664108		GO:0099103	channel activator activity	IMP	MGI:MGI:5008476		PANTHER:PTHR15136	20220825	GO:0007200|GO:0032024|GO:0099105|GO:1990806	NCBITaxon:10090
MGI	MGI:MGI:107476	Stim1	PMID:31664108		GO:0005246	calcium channel regulator activity	IMP	MGI:MGI:5008476		PANTHER:PTHR15136	20220825	GO:0007200|GO:0032024|GO:0099105|GO:1990806	NCBITaxon:10090
MGI	MGI:MGI:101910	F2rl1	PMID:17992256		GO:0001648	proteinase-activated receptor activity	IMP	MGI:MGI:2179844		PANTHER:PTHR24232	20220920	GO:0046676|GO:0099109|CL:0000169	NCBITaxon:10090
