assigned_by	bioentity	bioentity_label	reference	qualifier	annotation_class	annotation_class_label	evidence_type	evidence_with	bioentity_isoform	panther_family	date	annotation_extension_class	taxon
UniProt	UniProtKB:Q96RT1	ERBIN	PMID:16203728		GO:0070433	negative regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway	IMP		UniProtKB:Q96RT1	PANTHER:PTHR45752	20151117	GO:0032495|GO:0032088	NCBITaxon:9606
BHF-UCL	RNAcentral:URS0000554A4F_9606	URS0000554A4F_9606	PMID:24299514		GO:0035195	miRNA-mediated post-transcriptional gene silencing	IDA				20210326	UniProtKB:P18850|CL:0000576|GO:1900102|GO:0043433	NCBITaxon:9606
BHF-UCL	RNAcentral:URS000034B6F5_9606	URS000034B6F5_9606	PMID:24603323		GO:0035195	miRNA-mediated post-transcriptional gene silencing	IDA				20210326	UniProtKB:Q13133|CL:0000066|UBERON:0002107|GO:0043433|GO:0090370	NCBITaxon:9606
BHF-UCL	RNAcentral:URS000075B7E4_9606	URS000075B7E4_9606	PMID:24751522		GO:0035195	miRNA-mediated post-transcriptional gene silencing	IDA				20210326	UniProtKB:Q13133|CL:0000235|GO:0043433|GO:0090370	NCBITaxon:9606
BHF-UCL	RNAcentral:URS00004208C5_9606	URS00004208C5_9606	PMID:26354749		GO:0035195	miRNA-mediated post-transcriptional gene silencing	IDA				20210326	UniProtKB:P19838|CL:0002138|UBERON:0002095|GO:0043433|GO:1901223	NCBITaxon:9606
DIBU	RNAcentral:URS00001230A0_9606	URS00001230A0_9606	PMID:30692230		GO:0035195	miRNA-mediated post-transcriptional gene silencing	IDA				20200317	ENSEMBL:ENSG00000169554|GO:0043433	NCBITaxon:9606
ParkinsonsUK-UCL	UniProtKB:O75928	PIAS2	PMID:20408817		GO:0061665	SUMO ligase activity	IDA		UniProtKB:O75928-1	PANTHER:PTHR10782	20150129	UniProtKB:P17861-2|GO:0043433	NCBITaxon:9606
ParkinsonsUK-UCL	MGI:MGI:1916193	Pink1	PMID:24553947		GO:0045727	positive regulation of translation	IMP			PANTHER:PTHR22972	20140826	UniProtKB:Q61221|GO:0051091	NCBITaxon:10090
CAFA	MGI:MGI:1350917	Rps3	PMID:18045535		GO:0031334	positive regulation of protein-containing complex assembly	IMP			PANTHER:PTHR11760	20160512	GO:0035525|GO:0051092	NCBITaxon:10090
CAFA	UniProtKB:P23396	RPS3	PMID:18045535	contributes_to	GO:0000977	RNA polymerase II transcription regulatory region sequence-specific DNA binding	IMP		UniProtKB:P23396	PANTHER:PTHR11760	20200214	UniProtKB:Q04206|GO:0051092|GO:0035525	NCBITaxon:9606
