assigned_by	bioentity	bioentity_label	reference	qualifier	annotation_class	annotation_class_label	evidence_type	evidence_with	bioentity_isoform	panther_family	date	annotation_extension_class	taxon
ParkinsonsUK-UCL	UniProtKB:P52824	DGKQ	PMID:22732145		GO:0010801	negative regulation of peptidyl-threonine phosphorylation	IDA			PANTHER:PTHR11255	20161111	GO:0007205|UniProtKB:P00533|GO:0018108	NCBITaxon:9606
ParkinsonsUK-UCL	UniProtKB:P52824	DGKQ	PMID:22732145		GO:0050731	positive regulation of peptidyl-tyrosine phosphorylation	IDA			PANTHER:PTHR11255	20161111	GO:0007205|UniProtKB:P00533	NCBITaxon:9606
MGI	PR:P47757-1	mCAPZB/iso:1	PMID:12089068		GO:0090036	regulation of protein kinase C signaling	IMP				20130403	GO:0070528	NCBITaxon:10090
MGI	MGI:MGI:104745	Sez6	PMID:16814779		GO:0090036	regulation of protein kinase C signaling	IGI	MGI:MGI:1935121		PANTHER:PTHR45656	20130808	GO:0070528	NCBITaxon:10090
MGI	MGI:MGI:104745	Sez6	PMID:16814779		GO:0090036	regulation of protein kinase C signaling	IGI	MGI:MGI:2385295		PANTHER:PTHR45656	20130808	GO:0070528	NCBITaxon:10090
MGI	MGI:MGI:1935121	Sez6l	PMID:16814779		GO:0090036	regulation of protein kinase C signaling	IGI	MGI:MGI:2385295		PANTHER:PTHR45656	20130808	GO:0070528	NCBITaxon:10090
MGI	MGI:MGI:1935121	Sez6l	PMID:16814779		GO:0090036	regulation of protein kinase C signaling	IGI	MGI:MGI:104745		PANTHER:PTHR45656	20130808	GO:0070528	NCBITaxon:10090
MGI	MGI:MGI:2385295	Sez6l2	PMID:16814779		GO:0090036	regulation of protein kinase C signaling	IGI	MGI:MGI:104745		PANTHER:PTHR45656	20130808	GO:0070528	NCBITaxon:10090
MGI	MGI:MGI:2385295	Sez6l2	PMID:16814779		GO:0090036	regulation of protein kinase C signaling	IGI	MGI:MGI:1935121		PANTHER:PTHR45656	20130808	GO:0070528	NCBITaxon:10090
SGD	SGD:S000000464	RGD1	PMID:33508381		GO:0030036	actin cytoskeleton organization	IMP		UniProtKB:P38339	PANTHER:PTHR23176	20210205	GO:0070528|GO:0034605	NCBITaxon:559292
UniProt	UniProtKB:O75955	FLOT1	PMID:21399631		GO:0002090	regulation of receptor internalization	IMP			PANTHER:PTHR13806	20150414	UniProtKB:Q01959|GO:0070528|UniProtKB:P43004	NCBITaxon:9606
UniProt	UniProtKB:O75955	FLOT1	PMID:21399631		GO:0045807	positive regulation of endocytosis	IMP			PANTHER:PTHR13806	20150414	UniProtKB:Q01959|GO:0070528|UniProtKB:P43004	NCBITaxon:9606
UniProt	MGI:MGI:1100500	Flot1	PMID:21399631|MGI:MGI:5634885		GO:0002090	regulation of receptor internalization	IMP			PANTHER:PTHR13806	20150414	UniProtKB:Q61327|GO:0070528	NCBITaxon:10090
UniProt	MGI:MGI:1100500	Flot1	PMID:21399631|MGI:MGI:5634885		GO:0032226	positive regulation of synaptic transmission, dopaminergic	IMP			PANTHER:PTHR13806	20150414	UniProtKB:Q61327|GO:0070528	NCBITaxon:10090
UniProt	MGI:MGI:1100500	Flot1	PMID:21399631|MGI:MGI:5634885		GO:0045807	positive regulation of endocytosis	IMP			PANTHER:PTHR13806	20150414	UniProtKB:Q61327|GO:0070528	NCBITaxon:10090
