assigned_by	bioentity	bioentity_label	reference	qualifier	annotation_class	annotation_class_label	evidence_type	evidence_with	bioentity_isoform	panther_family	date	annotation_extension_class	taxon
FlyBase	FB:FBgn0003861	trp	PMID:10326683|FB:FBrf0108156		GO:0008377	light-induced release of internally sequestered calcium ion	IDA			PANTHER:PTHR10117	20060803		NCBITaxon:7227
ZFIN	ZFIN:ZDB-GENE-030314-2	opn4.1	PMID:21966429		GO:0008377	light-induced release of internally sequestered calcium ion	IDA			PANTHER:PTHR24240	20111102		NCBITaxon:7955
FlyBase	FB:FBgn0261549	rdgA	PMID:10798401|FB:FBrf0127286		GO:0016056	rhodopsin mediated signaling pathway	IMP			PANTHER:PTHR11255	20060803		NCBITaxon:7227
FlyBase	FB:FBgn0013972	Gycalpha99B	PMID:11567060|FB:FBrf0138450		GO:0016056	rhodopsin mediated signaling pathway	IMP			PANTHER:PTHR45655	20060803		NCBITaxon:7227
FlyBase	FB:FBgn0004435	Galphaq	PMID:18034157|FB:FBrf0201336		GO:0016056	rhodopsin mediated signaling pathway	IMP			PANTHER:PTHR10218	20130613		NCBITaxon:7227
FlyBase	FB:FBgn0262738	norpA	PMID:18184564|FB:FBrf0202587		GO:0016056	rhodopsin mediated signaling pathway	IMP			PANTHER:PTHR10336	20080221		NCBITaxon:7227
FlyBase	FB:FBgn0036260	Rh7	PMID:28489826|FB:FBrf0235590		GO:0016056	rhodopsin mediated signaling pathway	IMP			PANTHER:PTHR24229	20170716		NCBITaxon:7227
FlyBase	FB:FBgn0262738	norpA	PMID:7759511|FB:FBrf0082549		GO:0016056	rhodopsin mediated signaling pathway	IMP			PANTHER:PTHR10336	20130711		NCBITaxon:7227
FlyBase	FB:FBgn0004435	Galphaq	PMID:7946351|FB:FBrf0077001		GO:0016056	rhodopsin mediated signaling pathway	IMP			PANTHER:PTHR10218	20110210		NCBITaxon:7227
FlyBase	FB:FBgn0004623	Gbeta76C	PMID:8015606|FB:FBrf0072976		GO:0016056	rhodopsin mediated signaling pathway	IMP			PANTHER:PTHR19850	20060803		NCBITaxon:7227
FlyBase	FB:FBgn0010350	Cds	PMID:8570597|FB:FBrf0086225		GO:0016056	rhodopsin mediated signaling pathway	IMP			PANTHER:PTHR13773	20060803		NCBITaxon:7227
FlyBase	FB:FBgn0000253	Cam	PMID:9159171|FB:FBrf0093344		GO:0016056	rhodopsin mediated signaling pathway	IMP			PANTHER:PTHR23050	20060803		NCBITaxon:7227
