assigned_by	bioentity	bioentity_label	reference	qualifier	annotation_class	annotation_class_label	evidence_type	evidence_with	bioentity_isoform	panther_family	date	annotation_extension_class	taxon
BHF-UCL	Xenbase:XB-GENE-997061	dzip1.L	PMID:21878643		GO:0010620	negative regulation of transcription by transcription factor catabolism	IMP				20120508	UniProtKB:Q91690	NCBITaxon:8355
CACAO	UniProtKB:Q8N6T7	SIRT6	PMID:27457971		GO:1901485	positive regulation of transcription factor catabolic process	IMP			PANTHER:PTHR47651	20161001		NCBITaxon:9606
ParkinsonsUK-UCL	UniProtKB:P21675	TAF1	PMID:20181722		GO:0036369	transcription factor catabolic process	IDA			PANTHER:PTHR13900	20160929	UniProtKB:P10275|GO:0071383	NCBITaxon:9606
PomBase	PomBase:SPBC17D11.02c	hrd1	PMID:19520858		GO:0010620	negative regulation of transcription by transcription factor catabolism	IMP			PANTHER:PTHR22763	20100309		NCBITaxon:4896
PomBase	PomBase:SPBP16F5.04	ubc7	PMID:19520858		GO:0010620	negative regulation of transcription by transcription factor catabolism	IMP			PANTHER:PTHR24067	20100309		NCBITaxon:4896
PomBase	PomBase:SPBC776.12c	hsk1	PMID:20230746		GO:0010620	negative regulation of transcription by transcription factor catabolism	IMP			PANTHER:PTHR11909	20140611	PomBase:SPCC290.04	NCBITaxon:4896
PomBase	PomBase:SPAC23C4.12	hhp2	PMID:24327658		GO:0010620	negative regulation of transcription by transcription factor catabolism	IMP			PANTHER:PTHR11909	20140310		NCBITaxon:4896
SGD	SGD:S000005103	ASI2	PMID:25253722		GO:0036369	transcription factor catabolic process	IMP		UniProtKB:P53895		20141008	SGD:S000002871	NCBITaxon:559292
SGD	SGD:S000004953	ASI3	PMID:25253722		GO:0036369	transcription factor catabolic process	IMP		UniProtKB:P53983	PANTHER:PTHR22696	20141008	SGD:S000002871	NCBITaxon:559292
SGD	SGD:S000004725	ASI1	PMID:25253722		GO:0036369	transcription factor catabolic process	IMP		UniProtKB:P54074	PANTHER:PTHR22696	20141008	SGD:S000002871	NCBITaxon:559292
TAIR	AGI_LocusCode:AT5G18650	MIEL1	PMID:23403577|TAIR:Publication:501753705		GO:1901485	positive regulation of transcription factor catabolic process	IDA		TAIR:locus:2180074		20130417		NCBITaxon:3702
UniProt	MGI:MGI:1923041	Fbxw8	PMID:29153991|MGI:MGI:6148490		GO:1901485	positive regulation of transcription factor catabolic process	IDA			PANTHER:PTHR44019	20180313		NCBITaxon:10090
UniProt	MGI:MGI:1346862	Mapk9	PMID:29153991|MGI:MGI:6148490		GO:1901485	positive regulation of transcription factor catabolic process	IMP			PANTHER:PTHR24055	20180313		NCBITaxon:10090
UniProt	MGI:MGI:1346861	Mapk8	PMID:29153991|MGI:MGI:6148490		GO:1901485	positive regulation of transcription factor catabolic process	IMP			PANTHER:PTHR24055	20180313		NCBITaxon:10090
WB	WB:WBGene00000837	cul-2	PMID:17609115|WB_REF:WBPaper00030834		GO:0036369	transcription factor catabolic process	IMP			PANTHER:PTHR11932	20141113	WB:WBGene00006604|WBbt:0005772|GO:0019102|WBls:0000038|WB:WBGene00006604|WBbt:0005772|GO:0042001|WB:WBGene00006604|WBbt:0005784|GO:0040021|WB:WBGene00006604|WBbt:0005784|GO:0019100	NCBITaxon:6239
WB	WB:WBGene00001411	fem-1	PMID:17609115|WB_REF:WBPaper00030834		GO:0036369	transcription factor catabolic process	IDA			PANTHER:PTHR24173	20141113	WB:WBGene00006604	NCBITaxon:6239
ARUK-UCL	MGI:MGI:1891254	Bag2	PMID:19228967|MGI:MGI:6148635	not	GO:0032436	positive regulation of proteasomal ubiquitin-dependent protein catabolic process	IGI	UniProtKB:P10636		PANTHER:PTHR12334	20180306		NCBITaxon:10090
ARUK-UCL	ComplexPortal:CPX-1070	abeta-42_human	PMID:21113149		GO:0032436	positive regulation of proteasomal ubiquitin-dependent protein catabolic process	IDA				20170620	UniProtKB:P29323|CL:0000540	NCBITaxon:9606
ARUK-UCL	UniProtKB:Q96J02	ITCH	PMID:22009753		GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	IMP			PANTHER:PTHR11254	20201001	UniProtKB:Q13571	NCBITaxon:9606
ARUK-UCL	UniProtKB:P49841	GSK3B	PMID:25897075		GO:0032436	positive regulation of proteasomal ubiquitin-dependent protein catabolic process	IMP			PANTHER:PTHR24057	20171120	UniProtKB:Q6R327	NCBITaxon:9606
ARUK-UCL	UniProtKB:P49840	GSK3A	PMID:25897075		GO:0032436	positive regulation of proteasomal ubiquitin-dependent protein catabolic process	IMP			PANTHER:PTHR24057	20171120	UniProtKB:Q6R327	NCBITaxon:9606
ARUK-UCL	MGI:MGI:1306776	Map1a	PMID:26609151|MGI:MGI:5703671		GO:0032435	negative regulation of proteasomal ubiquitin-dependent protein catabolic process	IDA			PANTHER:PTHR13843	20180315	CL:0000540|UniProtKB:Q91XM9|GO:0035865	NCBITaxon:10090
AgBase	UniProtKB:Q5H7C0	CDC20	PMID:18753608		GO:0031145	anaphase-promoting complex-dependent catabolic process	IMP			PANTHER:PTHR19918	20151114		NCBITaxon:9823
AgBase	UniProtKB:Q5H7B9	FZR1	PMID:18753608		GO:0031145	anaphase-promoting complex-dependent catabolic process	IMP			PANTHER:PTHR19918	20151114		NCBITaxon:9823
AgBase	UniProtKB:Q5H7B9	FZR1	PMID:18753608		GO:0031145	anaphase-promoting complex-dependent catabolic process	IMP			PANTHER:PTHR19918	20151114	GO:0007128	NCBITaxon:9823
AspGD	UniProtKB:Q5B698	ANIA_03932	PMID:17911112		GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	IMP			PANTHER:PTHR11599	20100128		NCBITaxon:227321
BHF-UCL	UniProtKB:Q9HCE7	SMURF1	PMID:11278251		GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	IDA			PANTHER:PTHR11254	20090219		NCBITaxon:9606
BHF-UCL	UniProtKB:O15105	SMAD7	PMID:11278251		GO:0032436	positive regulation of proteasomal ubiquitin-dependent protein catabolic process	IDA			PANTHER:PTHR13703	20090219		NCBITaxon:9606
BHF-UCL	UniProtKB:Q16594	TAF9	PMID:11278372		GO:0032435	negative regulation of proteasomal ubiquitin-dependent protein catabolic process	IDA			PANTHER:PTHR48068	20090618		NCBITaxon:9606
BHF-UCL	UniProtKB:Q00987	MDM2	PMID:11278372		GO:0032436	positive regulation of proteasomal ubiquitin-dependent protein catabolic process	IDA			PANTHER:PTHR46858	20090618		NCBITaxon:9606
BHF-UCL	MGI:MGI:1926252	Gipc1	PMID:11546783|MGI:MGI:3807767		GO:0032435	negative regulation of proteasomal ubiquitin-dependent protein catabolic process	IDA			PANTHER:PTHR12259	20080820		NCBITaxon:10090
BHF-UCL	UniProtKB:P98082	DAB2	PMID:12805222		GO:0032436	positive regulation of proteasomal ubiquitin-dependent protein catabolic process	IMP			PANTHER:PTHR47695	20100902		NCBITaxon:9606
BHF-UCL	UniProtKB:P21675	TAF1	PMID:15053879		GO:0032436	positive regulation of proteasomal ubiquitin-dependent protein catabolic process	IDA			PANTHER:PTHR13900	20090617		NCBITaxon:9606
BHF-UCL	UniProtKB:Q9NZL4	HSPBP1	PMID:16831871		GO:0032436	positive regulation of proteasomal ubiquitin-dependent protein catabolic process	IDA			PANTHER:PTHR19316	20091211		NCBITaxon:9606
BHF-UCL	UniProtKB:Q96MT3	PRICKLE1	PMID:17030191		GO:0032436	positive regulation of proteasomal ubiquitin-dependent protein catabolic process	IDA			PANTHER:PTHR24211	20100902		NCBITaxon:9606
BHF-UCL	UniProtKB:O14640	DVL1	PMID:20177058		GO:0032436	positive regulation of proteasomal ubiquitin-dependent protein catabolic process	IMP			PANTHER:PTHR10878	20120807	UniProtKB:Q969F2	NCBITaxon:9606
BHF-UCL	UniProtKB:Q969F2	NKD2	PMID:20177058		GO:0032436	positive regulation of proteasomal ubiquitin-dependent protein catabolic process	IMP			PANTHER:PTHR22611	20120807	UniProtKB:O14640	NCBITaxon:9606
