assigned_by	bioentity	bioentity_label	reference	qualifier	annotation_class	annotation_class_label	evidence_type	evidence_with	bioentity_isoform	panther_family	date	annotation_extension_class	taxon
AspGD	UniProtKB:B2LXT5	mecA	PMID:4610342		GO:0006534	cysteine metabolic process	IGI	AspGD:ASPL0000028533			20100505		NCBITaxon:162425
AspGD	UniProtKB:B2LXT5	mecA	PMID:4610342		GO:0006534	cysteine metabolic process	IMP				20100505		NCBITaxon:162425
AspGD	UniProtKB:Q5AT15	cysA	PMID:4610342		GO:0006534	cysteine metabolic process	IMP			PANTHER:PTHR32268	20100505		NCBITaxon:227321
AspGD	UniProtKB:P50125	cysD	PMID:8249501		GO:0006534	cysteine metabolic process	IMP			PANTHER:PTHR43797	20100419		NCBITaxon:227321
GeneDB	PlasmoDB:PF3D7_0716600	SufS	PMID:24086138		GO:0006534	cysteine metabolic process	IDA				20131003		NCBITaxon:36329
MGI	MGI:MGI:104995	Gclm	PMID:12384496		GO:0006534	cysteine metabolic process	IMP	MGI:MGI:2447852	MGI:MGI:104995	PANTHER:PTHR13295	20061113	EMAPA:17373	NCBITaxon:10090
MGI	MGI:MGI:104995	Gclm	PMID:12384496		GO:0006534	cysteine metabolic process	IMP	MGI:MGI:2447852	MGI:MGI:104995	PANTHER:PTHR13295	20061113	EMAPA:17503	NCBITaxon:10090
MGI	MGI:MGI:104995	Gclm	PMID:12384496		GO:0006534	cysteine metabolic process	IMP	MGI:MGI:2447852	MGI:MGI:104995	PANTHER:PTHR13295	20061113	EMAPA:35690	NCBITaxon:10090
PINC	UniProtKB:P32929	CTH	PMID:1339280		GO:0006534	cysteine metabolic process	TAS		UniProtKB:P32929	PANTHER:PTHR11808	20030904		NCBITaxon:9606
UniProt	UniProtKB:Q76MX2	PCAS-1	PMID:10795315		GO:0006534	cysteine metabolic process	IDA			PANTHER:PTHR10314	20120614		NCBITaxon:4113
UniProt	UniProtKB:Q43153	CYSC	PMID:10948226		GO:0006534	cysteine metabolic process	IDA			PANTHER:PTHR10314	20120614		NCBITaxon:3562
UniProt	UniProtKB:Q16878	CDO1	PMID:12110289		GO:0006534	cysteine metabolic process	TAS		UniProtKB:Q16878	PANTHER:PTHR12918	20060426		NCBITaxon:9606
UniProt	UniProtKB:P48506	GCLC	PMID:2294991		GO:0006534	cysteine metabolic process	IDA		UniProtKB:P48506	PANTHER:PTHR11164	20070102		NCBITaxon:9606
CAFA	UniProtKB:P37887	cysK	PMID:17056751		GO:0006535	L-cysteine biosynthetic process from L-serine	IDA			PANTHER:PTHR10314	20170124		NCBITaxon:224308
CAFA	UniProtKB:O05393	mccA	PMID:17056751		GO:0006535	L-cysteine biosynthetic process from L-serine	IDA			PANTHER:PTHR10314	20170124		NCBITaxon:224308
ComplexPortal	ComplexPortal:CPX-3742	cysek_ecoli	PMID:22179612		GO:0006535	L-cysteine biosynthetic process from L-serine	IDA				20250724		NCBITaxon:83333
ComplexPortal	EcoCyc:ACSERLYA-MONOMER	CysK	PMID:22179612		GO:0006535	L-cysteine biosynthetic process from L-serine	IDA		EcoCyc:ACSERLYA-MONOMER		20250724		NCBITaxon:83333
