assigned_by	bioentity	bioentity_label	reference	qualifier	annotation_class	annotation_class_label	evidence_type	evidence_with	bioentity_isoform	panther_family	date	annotation_extension_class	taxon
EcoCyc	EcoCyc:DCYSDESULF-MONOMER	DcyD	PMID:11527960		GO:0019447	D-cysteine catabolic process	IMP		EcoCyc:DCYSDESULF-MONOMER		20140127		NCBITaxon:83333
TAIR	AGI_LocusCode:AT1G48420	D-CDES	PMID:22816429|TAIR:Publication:501750364		GO:0019447	D-cysteine catabolic process	IDA		TAIR:locus:2007725		20120918		NCBITaxon:3702
EcoliWiki	EcoCyc:DSERDEAM-MONOMER	DsdA	PMID:5327100		GO:0070178	D-serine metabolic process	IDA		EcoCyc:DSERDEAM-MONOMER		20090731		NCBITaxon:83333
FlyBase	FB:FBgn0037684	Srr	PMID:29915051		GO:0070178	D-serine metabolic process	IMP		FB:FBgn0037684	PANTHER:PTHR48078	20250820		NCBITaxon:7227
GeneDB	PlasmoDB:PF3D7_1235600	SHMT	PMID:19591881		GO:0070178	D-serine metabolic process	IDA				20140407		NCBITaxon:36329
SGD	SGD:S000003164	DSD1	PMID:17937657		GO:0070178	D-serine metabolic process	IMP		SGD:S000003164	PANTHER:PTHR28004	20130807		NCBITaxon:559292
UniProt	AGI_LocusCode:AT4G11640	SR	PMID:16483618|TAIR:Publication:501718516		GO:0070178	D-serine metabolic process	IDA		TAIR:locus:2139767		20210331		NCBITaxon:3702
UniProt	PomBase:SPCC320.14	sry1	PMID:19640845		GO:0070178	D-serine metabolic process	IDA		PomBase:SPCC320.14	PANTHER:PTHR43050	20101221		NCBITaxon:4896
UniProt	RGD:735094	Srr	PMID:20106978		GO:0070178	D-serine metabolic process	IDA		RGD:735094	PANTHER:PTHR43050	20101221		NCBITaxon:10116
UniProt	UniProtKB:Q9GZT4	SRR	PMID:20106978		GO:0070178	D-serine metabolic process	IDA		UniProtKB:Q9GZT4	PANTHER:PTHR43050	20101221		NCBITaxon:9606
UniProt	UniProtKB:Q7XSN8	SERR	PMID:20564571		GO:0070178	D-serine metabolic process	IDA			PANTHER:PTHR43050	20121011		NCBITaxon:39947
UniProt	UniProtKB:P14920	DAO	PMID:21679769		GO:0070178	D-serine metabolic process	IDA		UniProtKB:P14920	PANTHER:PTHR11530	20120531		NCBITaxon:9606
SGD	SGD:S000002378	DTD1	PMID:10918062		GO:1900829	D-tyrosine catabolic process	IMP		SGD:S000002378	PANTHER:PTHR10472	20130807		NCBITaxon:559292
SGD	SGD:S000002378	DTD1	PMID:10918062		GO:1900832	D-leucine catabolic process	IMP		SGD:S000002378	PANTHER:PTHR10472	20130807		NCBITaxon:559292
