assigned_by	bioentity	bioentity_label	reference	qualifier	annotation_class	annotation_class_label	evidence_type	evidence_with	bioentity_isoform	panther_family	date	annotation_extension_class	taxon
PomBase	PomBase:SPBC1709.10c	atx1	PMID:18723604		GO:0016531	copper chaperone activity	IDA			PANTHER:PTHR46365	20200923	PomBase:SPAC2E1P3.04|GO:0015680	NCBITaxon:4896
SGD	SGD:S000005312	ZNG1	PMID:35584675		GO:0140827	zinc chaperone activity	IDA		UniProtKB:P53729	PANTHER:PTHR13748	20220607	SGD:S000004234|GO:0051604|GO:0034224	NCBITaxon:559292
UniProt	UniProtKB:P0C0J0	speB	PMID:10429198		GO:0004197	cysteine-type endopeptidase activity	IDA				20220713	UniProtKB:P0C0J0|GO:0016540|GO:0051604	NCBITaxon:1314
UniProt	UniProtKB:O43462	MBTPS2	PMID:11163209		GO:0004222	metalloendopeptidase activity	IDA		UniProtKB:O43462	PANTHER:PTHR13325	20220217	GO:0051604|UniProtKB:Q12772	NCBITaxon:9606
UniProt	UniProtKB:O14920	IKBKB	PMID:11297557		GO:0004674	protein serine/threonine kinase activity	IDA		UniProtKB:O14920	PANTHER:PTHR22969	20230330	GO:0051604|UniProtKB:P19838	NCBITaxon:9606
UniProt	UniProtKB:P0C0J1	speB	PMID:12621045		GO:0004197	cysteine-type endopeptidase activity	IDA				20220713	UniProtKB:P0C0J1|GO:0051604|GO:0016540	NCBITaxon:301447
UniProt	UniProtKB:O14920	IKBKB	PMID:14673179		GO:0004674	protein serine/threonine kinase activity	IDA		UniProtKB:O14920	PANTHER:PTHR22969	20230330	UniProtKB:P19838|GO:0051604	NCBITaxon:9606
UniProt	UniProtKB:P29466	CASP1	PMID:15326478		GO:0004197	cysteine-type endopeptidase activity	IDA		UniProtKB:P29466	PANTHER:PTHR47901	20220127	GO:0032741|GO:0050729|GO:0051604|UniProtKB:Q14116	NCBITaxon:9606
UniProt	MGI:MGI:1916847	Afg3l2	PMID:16239145		GO:0008237	metallopeptidase activity	IMP			PANTHER:PTHR43655	20240213	UniProtKB:Q9DCI9|GO:0051604	NCBITaxon:10090
UniProt	UniProtKB:P53582	METAP1	PMID:17114291		GO:0004177	aminopeptidase activity	IDA		UniProtKB:P53582	PANTHER:PTHR43330	20220617	GO:0051604	NCBITaxon:9606
UniProt	MGI:MGI:96544	Casp1	PMID:18667412		GO:0004197	cysteine-type endopeptidase activity	IDA			PANTHER:PTHR47901	20220628	UniProtKB:P97864|GO:0051604|GO:0042742	NCBITaxon:10090
UniProt	UniProtKB:P07384	CAPN1	PMID:19617626		GO:0004198	calcium-dependent cysteine-type endopeptidase activity	IDA		UniProtKB:P07384	PANTHER:PTHR10183	20220628	UniProtKB:P55210|GO:0051604	NCBITaxon:9606
UniProt	UniProtKB:P55210	CASP7	PMID:21157428		GO:0004197	cysteine-type endopeptidase activity	IDA		UniProtKB:P55210	PANTHER:PTHR10454	20220629	UniProtKB:P17405|GO:0051604	NCBITaxon:9606
UniProt	UniProtKB:Q14703	MBTPS1	PMID:21719679		GO:0004252	serine-type endopeptidase activity	IDA		UniProtKB:Q14703	PANTHER:PTHR43806	20220217	GO:0051604|UniProtKB:P36956	NCBITaxon:9606
UniProt	UniProtKB:P29466	CASP1	PMID:22464733		GO:0004197	cysteine-type endopeptidase activity	IDA		UniProtKB:P29466	PANTHER:PTHR47901	20220629	UniProtKB:P55210|GO:0051604|GO:0071222	NCBITaxon:9606
UniProt	UniProtKB:Q5XPI4	RNF123	PMID:25860612		GO:0061630	ubiquitin protein ligase activity	IDA		UniProtKB:Q5XPI4	PANTHER:PTHR13363	20230330	UniProtKB:P19838|GO:0051604|GO:0043123	NCBITaxon:9606
UniProt	UniProtKB:Q5XPI4	RNF123	PMID:25860612		GO:0000209	protein polyubiquitination	IDA		UniProtKB:Q5XPI4	PANTHER:PTHR13363	20230330	GO:0051604|UniProtKB:P19838	NCBITaxon:9606
UniProt	UniProtKB:P49662	CASP4	PMID:26375003		GO:0004197	cysteine-type endopeptidase activity	IDA		UniProtKB:P49662	PANTHER:PTHR10454	20220630	GO:0051604|GO:0160075|UniProtKB:P57764|GO:0005546	NCBITaxon:9606
UniProt	UniProtKB:P55211	CASP9	PMID:27889207		GO:0097153	cysteine-type endopeptidase activity involved in apoptotic process	IDA		UniProtKB:P55211	PANTHER:PTHR10454	20220627	UniProtKB:P55210|GO:0051604	NCBITaxon:9606
UniProt	UniProtKB:P0C0J1	speB	PMID:28331908		GO:0004197	cysteine-type endopeptidase activity	IDA				20220713	UniProtKB:P01584|GO:0051604	NCBITaxon:301447
UniProt	UniProtKB:P42574	CASP3	PMID:28459430		GO:0004197	cysteine-type endopeptidase activity	IDA		UniProtKB:P42574	PANTHER:PTHR10454	20220708	GO:0051604|GO:0140639|UniProtKB:O60443|GO:0022829	NCBITaxon:9606
UniProt	UniProtKB:Q9Y4W6	AFG3L2	PMID:29545505		GO:0004222	metalloendopeptidase activity	IDA		UniProtKB:Q9Y4W6	PANTHER:PTHR43655	20240216	UniProtKB:Q96E52|GO:0051604	NCBITaxon:9606
UniProt	UniProtKB:Q9Y4W6	AFG3L2	PMID:29932645		GO:0004222	metalloendopeptidase activity	IDA		UniProtKB:Q9Y4W6	PANTHER:PTHR43655	20240213	UniProtKB:Q9BYC8|GO:0051604	NCBITaxon:9606
UniProt	MGI:MGI:107700	Casp4	PMID:30135078		GO:0004197	cysteine-type endopeptidase activity	IDA			PANTHER:PTHR10454	20230110	UniProtKB:P70343|GO:0016540|GO:0051604	NCBITaxon:10090
UniProt	MGI:MGI:107700	Casp4	PMID:30135078		GO:0004197	cysteine-type endopeptidase activity	IDA			PANTHER:PTHR10454	20230110	UniProtKB:Q9D8T2|GO:0051604	NCBITaxon:10090
UniProt	MGI:MGI:107700	Casp4	PMID:30135078		GO:0004197	cysteine-type endopeptidase activity	IDA			PANTHER:PTHR10454	20230111	GO:0051604|GO:0160075|MGI:MGI:107700	NCBITaxon:10090
UniProt	MGI:MGI:107700	Casp4	PMID:30135078		GO:0004197	cysteine-type endopeptidase activity	IDA			PANTHER:PTHR10454	20230111	GO:0051604|GO:0160075|MGI:MGI:1916396	NCBITaxon:10090
UniProt	MGI:MGI:107700	Casp4	PMID:30135078		GO:0004197	cysteine-type endopeptidase activity	IDA			PANTHER:PTHR10454	20240502	GO:0051604|GO:0160075|MGI:MGI:1916396	NCBITaxon:10090
UniProt	MGI:MGI:107700	Casp4	PMID:30135078		GO:0004197	cysteine-type endopeptidase activity	IDA			PANTHER:PTHR10454	20240503	GO:0051604|GO:0160075|MGI:MGI:107700	NCBITaxon:10090
UniProt	MGI:MGI:107700	Casp4	PMID:30135078		GO:0004197	cysteine-type endopeptidase activity	IDA			PANTHER:PTHR10454	20240503	GO:0051604|GO:0160075|MGI:MGI:1916396	NCBITaxon:10090
UniProt	UniProtKB:P09958	FURIN	PMID:31091448		GO:0004175	endopeptidase activity	IDA		UniProtKB:P09958	PANTHER:PTHR42884	20230111	UniProtKB:P04578|GO:0051604	NCBITaxon:9606
UniProt	UniProtKB:Q96P20	NLRP3	PMID:31189953		GO:0140608	cysteine-type endopeptidase activator activity	IDA		UniProtKB:Q96P20	PANTHER:PTHR45690	20221109	GO:0044546|GO:0051604|UniProtKB:P29466|GO:0004197	NCBITaxon:9606
UniProt	MGI:MGI:96544	Casp1	PMID:32109412		GO:0004197	cysteine-type endopeptidase activity	IDA			PANTHER:PTHR47901	20230112	GO:0050729|GO:0051604|MGI:MGI:1916396	NCBITaxon:10090
UniProt	MGI:MGI:96544	Casp1	PMID:32109412		GO:0004197	cysteine-type endopeptidase activity	IDA			PANTHER:PTHR47901	20230112	GO:0051604|MGI:MGI:96544	NCBITaxon:10090
UniProt	MGI:MGI:96544	Casp1	PMID:32109412		GO:0004197	cysteine-type endopeptidase activity	IDA			PANTHER:PTHR47901	20230131	GO:0050729|GO:0051604|MGI:MGI:1916396|GO:0005546	NCBITaxon:10090
UniProt	MGI:MGI:96544	Casp1	PMID:32109412		GO:0004197	cysteine-type endopeptidase activity	IDA			PANTHER:PTHR47901	20230131	GO:0051604|MGI:MGI:96544|GO:0004197	NCBITaxon:10090
UniProt	MGI:MGI:96544	Casp1	PMID:32109412		GO:0004197	cysteine-type endopeptidase activity	IDA			PANTHER:PTHR47901	20230131	GO:0050729|GO:0051604|MGI:MGI:1916396	NCBITaxon:10090
UniProt	MGI:MGI:96544	Casp1	PMID:32109412		GO:0004197	cysteine-type endopeptidase activity	IDA			PANTHER:PTHR47901	20230131	GO:0051604|MGI:MGI:96544	NCBITaxon:10090
UniProt	UniProtKB:O75844	ZMPSTE24	PMID:33293369		GO:0004175	endopeptidase activity	IDA		UniProtKB:O75844	PANTHER:PTHR10120	20231107	GO:0051604|UniProtKB:P02545	NCBITaxon:9606
UniProt	UniProtKB:O75844	ZMPSTE24	PMID:33293369		GO:0004175	endopeptidase activity	IDA		UniProtKB:O75844	PANTHER:PTHR10120	20231107	GO:0051604|UniProtKB:P02545|GO:0160123	NCBITaxon:9606
UniProt	UniProtKB:P42574	CASP3	PMID:33852854		GO:0004197	cysteine-type endopeptidase activity	IDA		UniProtKB:P42574	PANTHER:PTHR10454	20220916	GO:0051604|GO:0140639|UniProtKB:O60443	NCBITaxon:9606
UniProt	UniProtKB:P42574	CASP3	PMID:33852854		GO:0004197	cysteine-type endopeptidase activity	IDA		UniProtKB:P42574	PANTHER:PTHR10454	20220916	GO:0051604|GO:0140639|UniProtKB:O60443|GO:0022829	NCBITaxon:9606
UniProt	UniProtKB:Q14790	CASP8	PMID:33852854		GO:0004197	cysteine-type endopeptidase activity	IDA		UniProtKB:Q14790	PANTHER:PTHR10454	20220916	GO:0051604|UniProtKB:P42574	NCBITaxon:9606
UniProt	UniProtKB:Q14790	CASP8	PMID:33852854		GO:0004197	cysteine-type endopeptidase activity	IDA		UniProtKB:Q14790	PANTHER:PTHR10454	20220916	GO:0051604|UniProtKB:P42574|GO:0004197	NCBITaxon:9606
UniProt	UniProtKB:P12544	GZMA	PMID:34022140		GO:0004252	serine-type endopeptidase activity	IDA		UniProtKB:P12544	PANTHER:PTHR24271	20221019	GO:0051604|GO:0140507|GO:0005737|UniProtKB:Q8TAX9-1	NCBITaxon:9606
UniProt	UniProtKB:P49662	CASP4	PMID:34671164		GO:0016540	protein autoprocessing	IDA		UniProtKB:P49662	PANTHER:PTHR10454	20220630	GO:0051604|GO:0160075	NCBITaxon:9606
UniProt	UniProtKB:P0C0J1	speB	PMID:35110732		GO:0004197	cysteine-type endopeptidase activity	IDA				20220714	UniProtKB:Q96QA5|GO:0034050|GO:0051604|UniProtKB:Q96QA5-PRO_0000451664	NCBITaxon:301447
UniProt	UniProtKB:P0DW09	het-Q2	PMID:35135876		GO:0004252	serine-type endopeptidase activity	IDA				20220328	UniProtKB:B2AXJ5|GO:0043068|GO:0051604	NCBITaxon:2587412
UniProt	UniProtKB:Q6NVU6	UFSP1	PMID:35525273		GO:0008234	cysteine-type peptidase activity	IDA		UniProtKB:Q6NVU6	PANTHER:PTHR48153	20240318	UniProtKB:P61960|GO:0051604	NCBITaxon:9606
UniProt	UniProtKB:P0C0J1	speB	PMID:35545676		GO:0004197	cysteine-type endopeptidase activity	IDA				20220714	UniProtKB:Q96QA5|GO:0051604|GO:0034050|UniProtKB:Q96QA5-PRO_0000451664	NCBITaxon:301447
UniProt	MGI:MGI:1922874	Metap1	PMID:35584702		GO:0004177	aminopeptidase activity	IDA			PANTHER:PTHR43330	20220617	GO:0051604	NCBITaxon:10090
UniProt	MGI:MGI:2385089	Zng1	PMID:35584702		GO:0140827	zinc chaperone activity	IDA			PANTHER:PTHR13748	20220620	GO:0051604|UniProtKB:Q8BP48	NCBITaxon:10090
UniProt	MGI:MGI:2385089	Zng1	PMID:35584702		GO:0140827	zinc chaperone activity	IDA			PANTHER:PTHR13748	20220617	GO:0051604|MGI:MGI:1922874|GO:0004177	NCBITaxon:10090
UniProt	MGI:MGI:2385089	Zng1	PMID:35584702		GO:0003924	GTPase activity	IDA			PANTHER:PTHR13748	20220617	GO:0051604|GO:0140827	NCBITaxon:10090
UniProt	ZFIN:ZDB-GENE-040426-2388	cbwd	PMID:35584702|ZFIN:ZDB-PUB-220519-12		GO:0140827	zinc chaperone activity	IDA			PANTHER:PTHR13748	20220620	GO:0051604|UniProtKB:Q4QRK0	NCBITaxon:7955
UniProt	UniProtKB:P42574	CASP3	PMID:35594856		GO:0004197	cysteine-type endopeptidase activity	IDA		UniProtKB:P42574	PANTHER:PTHR10454	20220916	GO:0051604|UniProtKB:O60443|GO:0022829	NCBITaxon:9606
UniProt	UniProtKB:P42574	CASP3	PMID:35594856		GO:0004197	cysteine-type endopeptidase activity	IDA		UniProtKB:P42574	PANTHER:PTHR10454	20220916	GO:0051604|GO:0140639|UniProtKB:O60443	NCBITaxon:9606
UniProt	UniProtKB:Q14790	CASP8	PMID:35594856		GO:0004197	cysteine-type endopeptidase activity	IDA		UniProtKB:Q14790	PANTHER:PTHR10454	20220916	GO:0051604	NCBITaxon:9606
UniProt	UniProtKB:Q14790	CASP8	PMID:35594856		GO:0004197	cysteine-type endopeptidase activity	IDA		UniProtKB:Q14790	PANTHER:PTHR10454	20220916	GO:0051604|UniProtKB:P42574|GO:0004197	NCBITaxon:9606
UniProt	MGI:MGI:109267	Gzmb	PMID:35705808		GO:0004252	serine-type endopeptidase activity	IDA			PANTHER:PTHR24271	20220629	UniProtKB:P97864|GO:0051604|GO:0042742	NCBITaxon:10090
