assigned_by	bioentity	bioentity_label	reference	qualifier	annotation_class	annotation_class_label	evidence_type	evidence_with	bioentity_isoform	panther_family	date	annotation_extension_class	taxon
BHF-UCL	RNAcentral:URS00001C94E0_9606	URS00001C94E0_9606	PMID:23353574		GO:0035195	miRNA-mediated post-transcriptional gene silencing	IDA				20170807	UniProtKB:Q07817|GO:0097153	NCBITaxon:9606
BHF-UCL	RNAcentral:URS0000324096_9606	URS0000324096_9606	PMID:26296645		GO:0035195	miRNA-mediated post-transcriptional gene silencing	IDA				20170807	UniProtKB:P42574|GO:0097153|CL:0002540|UniProtKB:P42574|GO:0010421|CL:0002540	NCBITaxon:9606
MGI	MGI:MGI:1316736	Men1	PMID:14688275		GO:0043280	positive regulation of cysteine-type endopeptidase activity involved in apoptotic process	IDA			PANTHER:PTHR12693	20080226	GO:0097153|MGI:MGI:1261423	NCBITaxon:10090
MGI	MGI:MGI:1096330	Bad	PMID:14967141		GO:0043281	regulation of cysteine-type endopeptidase activity involved in apoptotic process	IMP			PANTHER:PTHR28540	20070212	GO:0097153	NCBITaxon:10090
MGI	MGI:MGI:1919815	Uaca	PMID:15271982		GO:0043280	positive regulation of cysteine-type endopeptidase activity involved in apoptotic process	IMP	MGI:MGI:3043446		PANTHER:PTHR24173	20060726	GO:0097153	NCBITaxon:10090
MGI	MGI:MGI:108078	Sfrp2	PMID:17251350		GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	IDA			PANTHER:PTHR11309	20100820	GO:0097153	NCBITaxon:10090
MGI	MGI:MGI:98956	Wnt3a	PMID:17251350		GO:0043280	positive regulation of cysteine-type endopeptidase activity involved in apoptotic process	IDA			PANTHER:PTHR12027	20100820	GO:0097153	NCBITaxon:10090
MGI	MGI:MGI:1915760	Ints1	PMID:17544522		GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	IMP	MGI:MGI:3663683		PANTHER:PTHR21224	20081106	GO:0097153	NCBITaxon:10090
MGI	MGI:MGI:2444668	Fnip1	PMID:22709692		GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	IGI	MGI:MGI:88138		PANTHER:PTHR21634	20121231	GO:0097153	NCBITaxon:10090
MGI	MGI:MGI:2444668	Fnip1	PMID:22709692		GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	IMP	MGI:MGI:5445116		PANTHER:PTHR21634	20121231	GO:0097153	NCBITaxon:10090
